id,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
148,evermore,15,6Wlq9rqkxrqj5Kls4Kw14H,evermore (feat. Bon Iver),spotify:track:6Wlq9rqkxrqj5Kls4Kw14H,0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,71
149,evermore,16,3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,spotify:track:3zwMVvkBe2qIKDObWgXw4N,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,82
150,evermore,17,1kdWw77ZpYOkhxeuhzU1j6,it's time to go - bonus track,spotify:track:1kdWw77ZpYOkhxeuhzU1j6,0.801,0.592,0.41,1.39e-05,0.09,-12.426,0.0397,151.923,0.416,73
200,folklore,1,4pfrrhvplbJZAIsfosGWQP,the 1,spotify:track:4pfrrhvplbJZAIsfosGWQP,0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,0.163,74
201,folklore,2,0KRYCBwIpWYFNrXOmXbyUh,cardigan,spotify:track:0KRYCBwIpWYFNrXOmXbyUh,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,75
202,folklore,3,2olxzvoFI9IpxqFeUv7WOX,the last great american dynasty,spotify:track:2olxzvoFI9IpxqFeUv7WOX,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,73
203,folklore,4,5S4aYQAJOwJMAamANWlICO,exile (feat. Bon Iver),spotify:track:5S4aYQAJOwJMAamANWlICO,0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,0.16,75
204,folklore,5,5P2bHCDM2tsgIaYWsZMhu5,my tears ricochet,spotify:track:5P2bHCDM2tsgIaYWsZMhu5,0.814,0.456,0.265,0.0,0.0679,-10.663,0.0328,129.947,0.112,74
205,folklore,6,2I8YAEA1VmCuP1wkJHMpTw,mirrorball,spotify:track:2I8YAEA1VmCuP1wkJHMpTw,0.686,0.549,0.417,1.9e-06,0.0604,-10.064,0.035,110.137,0.347,73
206,folklore,7,76mOLcXOjOEhyY4mMF1l3r,seven,spotify:track:76mOLcXOjOEhyY4mMF1l3r,0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,0.374,73
207,folklore,8,6nK2pIKFcRc5frrZKHgsiT,august,spotify:track:6nK2pIKFcRc5frrZKHgsiT,0.553,0.387,0.634,6.93e-05,0.0931,-9.222,0.0363,89.567,0.42,74
208,folklore,9,7cm50Lw03k6VvRauJtkyTj,this is me trying,spotify:track:7cm50Lw03k6VvRauJtkyTj,0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,0.408,73
